Provenances,Person ID,Persona ID,Platform ID,Message ID,Time of Message,Location,Message String
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 20:40:45 +0000 2016,"Ann Arbor, Michigan",RT @UMichAthletics: .@AuburnTigers We did not. But we like this book a lot.   #GoBlue #ReadAcrossAmerica https://t.co/FDEuT0QVrO
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 20:14:02 +0000 2016,"Ann Arbor, Michigan",Baseball isn't the only fun we're having today. Khalid and Channing are having a blast at mini golf. https://t.co/mKPakp52Zq
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 18:26:38 +0000 2016,"Ann Arbor, Michigan",Off and running! Four runs in the first for the @tigers. All from great first base coaching of course! https://t.co/vA2atBfZlN
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 18:21:42 +0000 2016,"Ann Arbor, Michigan",RT @tigers: Looking good @CoachJim4UM! ?? https://t.co/XRAnHmGNu0
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 18:06:07 +0000 2016,"Ann Arbor, Michigan",RT @tigers: .@BradAusmus07 & @CoachJim4UM ?? https://t.co/XiRluCUJm0
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 18:04:31 +0000 2016,"Ann Arbor, Michigan","Thanks for the picture, @BradAusmus07! https://t.co/HUA8WIFniY"
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 17:44:44 +0000 2016,"Ann Arbor, Michigan","Looking good, @CoachJim4UM https://t.co/oeEHjgVbyu"
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 17:23:52 +0000 2016,"Ann Arbor, Michigan",Thanks to @Pirates manager Clint Hurdle for speaking to the team today! https://t.co/89RvRBanID
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 16:27:09 +0000 2016,"Ann Arbor, Michigan",Meet the new first base coach for the @tigers https://t.co/R7atnaNIyD
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 15:06:03 +0000 2016,"Ann Arbor, Michigan",Dr. Blitz making his presence felt with the U-M defense.   @SKORNACKI ª https://t.co/LuRG3rypsE   #GoBlue https://t.co/JClHcimppy
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 15:02:06 +0000 2016,"Ann Arbor, Michigan",@hannahMIgirl #GoBlue!
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 01:24:03 +0000 2016,"Ann Arbor, Michigan","""If you can touch somebody's life, why not give back?î - Jake Butt  @SKORNACKI ª https://t.co/SRUFNBivfb  #GoBlue https://t.co/9qHjtGTpp4"
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 00:35:25 +0000 2016,"Ann Arbor, Michigan","Jake Butt, Mason Cole, Amara Darboh and De'Veon Smith shared their thoughts on practicing in Florida today. https://t.co/A5e1LQgjd8"
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Wed Mar 02 00:30:34 +0000 2016,"Ann Arbor, Michigan","Defensive Coordinator Don Brown met with the media after practice, speaking on his early impressions and more. https://t.co/qRVUmw4jKQ"
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Tue Mar 01 23:45:30 +0000 2016,"Ann Arbor, Michigan","And with this, our second practice has come to a close. https://t.co/rai7qb0DbP"
Twitter Recent Tweets in Ann Arbor Area,erin,erinxjacobs,Twitter,7.05E+17,Thu Mar 03 17:19:35 +0000 2016,EMU,"In honor of big little reveal tonight, #tbt to getting the most amazing big and twin a girlÖ https://t.co/3AiW8dFysl"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,MYTHLOGIC,mythlogic,Twitter,7.05E+17,Thu Mar 03 17:01:52 +0000 2016,"3990 Varsity Dr. Ann Arbor, MI",#tang #pcmasterrace #pcgaming big @coolermaster is big! @ Mythlogic Computers https://t.co/QNayADhGGb
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,TMJ-MIN HRTA Jobs,tmj_MIN_HRTA,Twitter,7.05E+17,Thu Mar 03 16:34:14 +0000 2016,"Ann Arbor, MI","Interested in a #Hospitality #job near #AnnArbor, MI? This could be a great fit: https://t.co/2U6Jr0p9SG #parttime #Veterans #Hiring"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Nirmal Indian Curry,NirmalCurry,Twitter,7.05E+17,Thu Mar 03 16:20:14 +0000 2016," Ypsilanti, MI, US","Good Morning, Happy Thursday, whenever we talk about POWER OF WE, we want to build a communityÖ https://t.co/PWUvBD1ljn"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Tara,TaraLou685,Twitter,7.05E+17,Thu Mar 03 15:21:42 +0000 2016,"Toledo, Ohio",#happythursday  #smilemore @ Saint Joseph Mercy Health System https://t.co/ow4Pzco9fg
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Matt West,CaptainMattWest,Twitter,7.05E+17,Thu Mar 03 14:58:15 +0000 2016,"Ann Arbor, MI","When you have two workouts back to back, you dine where pictures are on the menu.  Super Size MyÖ https://t.co/MHtYbSB8YW"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,BallHardTd,TDRance,Twitter,7.05E+17,Thu Mar 03 14:52:53 +0000 2016,"Oklahoma, Missouri, Michigan.",EmuQues dunk contest/All-star basketball game in the Rec todayÖ https://t.co/vklpLPEdxa
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,TMJ-MIN HRTA Jobs,tmj_MIN_HRTA,Twitter,7.05E+17,Thu Mar 03 14:48:41 +0000 2016,"Ann Arbor, MI",This #Hospitality #job might be a great fit for you: Barista (US) - https://t.co/nOY27VDZTi #Veterans #Hiring #CareerArc
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,TMJ-MIN Sales Jobs,tmj_min_sales,Twitter,7.05E+17,Thu Mar 03 13:05:13 +0000 2016,"Ann Arbor, MI","We're #hiring! Read about our latest #job opening here: Part Time Sales Associate - https://t.co/aVBMAtKkzQ #Ypsilanti, MI #Sales"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,TMJ-MIN Bank Jobs,tmj_MIN_banking,Twitter,7.05E+17,Thu Mar 03 13:04:17 +0000 2016,"Ann Arbor, MI","We're #hiring! Click to apply: Part Time Personal Banker - https://t.co/ecUmS7udMT #Banking #Ypsilanti, MI #Job #Jobs #CareerArc"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Rolan Diet G. Lagura,dietlagura,Twitter,7.05E+17,Thu Mar 03 13:02:58 +0000 2016,"Manila, Philippines",Good night Baguio! #MarketingLife @ Burnham Suites https://t.co/Oa0cMZc1rW
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Lex...,Obey_Allure,Twitter,7.05E+17,Thu Mar 03 12:47:47 +0000 2016,,"So did I lol i feel great I need to start doing this more often ""@TBrooks___: Lol I went to bed at 11 last night."""
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Joseph M'Mwirichia,24inspiredlife,Twitter,7.05E+17,Thu Mar 03 11:28:12 +0000 2016,"Ann Arbor, MI","Trust, the way you practice it makes all the difference. This is especially true when pursuing aÖ https://t.co/gSm97pIeTF"
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Samiee?,LittleSamiee,Twitter,7.05E+17,Thu Mar 03 08:41:24 +0000 2016,,RT @Obey_Allure: When I fucked with someone I fuck with them heavy... Friendship and loyalty mean a lot man I expect the same in return
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,,,Twitter,,,,
Twitter Recent Tweets in Ann Arbor Area,Ruadh·n J McElroy,djmcspookypants,Twitter,7.05E+17,Thu Mar 03 07:52:31 +0000 2016,"Ypsilanti, MI","I'm at Spookyhouse in Ypsilanti, MI https://t.co/ib9wcuyGVd"
Twitter Search Recent Norovirus,Steritech,cebulka26,Twitter,7.03E+17,Thu Mar 03 18:21:01 +0000 2016,"Headquartered in Charlotte, NC","RT @UMHealthSystem: It's in the @freep, it must be true: Our scientists want your poop. (only if you've had #norovirus): https://t.co/SojiCÖ"
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,england498,Twitter,7.03E+17,,,200 students reportedly sickened by norovirus at Miami University of Ohio https://t.co/ItAZYTWHKB via @usatodaycollege
Twitter Search Recent Norovirus,lashanaaa,RyanMackintosh,Twitter,7.03E+17,Thu Mar 03 18:15:17 +0000 2016,carolina girl. ,RT @wsoctv: JUST IN: Several dozen @WingateUniv students reported symptoms similar to norovirus. They are testing to confirm.
Twitter Search Recent Norovirus,Tim Wood,,Twitter,,Thu Mar 03 18:07:42 +0000 2016,"Chapel Hill, NC",
Twitter Search Recent Norovirus,,guymetropolis,Twitter,7.03E+17,,,#Oregon #Norovirus Outbreak Linked to Yaquina Bay Oysters https://t.co/Oux09xbnAZ
Twitter Search Recent Norovirus,MyCollegeCalendar,,Twitter,,Thu Mar 03 18:04:35 +0000 2016,San Francisco,
Twitter Search Recent Norovirus,Jon Escott,HolmesChapelNHS,Twitter,7.03E+17,Thu Mar 03 18:03:26 +0000 2016,"Pontypool, Wales",RT @NHSEngland: Norovirus spreads really easily. Stay away from young and old to stop the spread #staywellthiswinter @NHSChoices https://t.Ö
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,Rene Wheeler,twinlang,Twitter,7.03E+17,Thu Mar 03 18:00:43 +0000 2016,,I so do not want to get this! #SayNoToTheNorovirus #FreshU  https://t.co/fxCFmXjcjL https://t.co/GEGyha2xw8
Twitter Search Recent Norovirus,Monica Pendleton,,Twitter,,Thu Mar 03 17:59:42 +0000 2016,"Tampa, FL",
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,AaronWork,newscientist_ag,Twitter,7.03E+17,Thu Mar 03 17:59:18 +0000 2016,"Ypsilanti, MI",Norovirus outbreak presents a research opportunity for scientists - Michigan Radio #norovirus https://t.co/oPJhaXYaH8
Twitter Search Recent Norovirus,,seaoddersea,Twitter,7.03E+17,,,can't believe out of all the school's in Liverpool our school archbishop beck would get the norovirus the school is closed tomorrow
Twitter Search Recent Norovirus,,mastruman,Twitter,7.03E+17,,,"RT @UMHealthSystem: It's in the @freep, it must be true: Our scientists want your poop. (only if you've had #norovirus): https://t.co/SojiCÖ"
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,?????? ??????????a,,Twitter,,Thu Mar 03 17:57:06 +0000 2016,,
Twitter Search Recent Norovirus,AJtheEarlicker,k_hicks13,Twitter,7.03E+17,Thu Mar 03 17:53:39 +0000 2016,"Chatsworth, CA",RT @wsoctv: JUST IN: Several dozen @WingateUniv students reported symptoms similar to norovirus. They are testing to confirm.
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,James Wilkinson,seaoddersea,Twitter,7.03E+17,Thu Mar 03 17:46:20 +0000 2016,"Liverpool, England",RT @LivEchonews: Norovirus vomiting bug outbreak at Archbishop Beck Catholic Sports College https://t.co/U59quNpq5G https://t.co/qOCiECO3b0
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,Andrew Singer,reporterdavidj,Twitter,7.03E+17,Thu Mar 03 17:45:08 +0000 2016,"Wallingford, UK ","RT @UMHealthSystem: It's in the @freep, it must be true: Our scientists want your poop. (only if you've had #norovirus): https://t.co/SojiCÖ"
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,duffy_ma,Twitter,7.03E+17,,,"RT @UMHealthSystem: It's in the @freep, it must be true: Our scientists want your poop. (only if you've had #norovirus): https://t.co/SojiCÖ"
Twitter Search Recent Norovirus,John@Vasculitis UK,,Twitter,,Thu Mar 03 17:40:18 +0000 2016,UK,
Twitter Search Recent Norovirus,Cogito,,Twitter,,Thu Mar 03 17:32:31 +0000 2016,"California, USA",
Twitter Search Recent Norovirus,,karag,Twitter,7.03E+17,,,"RT @UMHealthSystem: It's in the @freep, it must be true: Our scientists want your poop. (only if you've had #norovirus): https://t.co/SojiCÖ"
Twitter Search Recent Norovirus,Hyper Hygiene,,Twitter,,Thu Mar 03 17:31:58 +0000 2016,United Kingdom,
Twitter Search Recent Norovirus,,,Twitter,,,,
Twitter Search Recent Norovirus,,,Twitter,7.03E+17,,,"It's in the @freep, it must be true: Our scientists want your poop. (only if you've had #norovirus): https://t.co/SojiCIjXMw @reporterdavidj"
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 20:00:29 +0000 2016,"Ann Arbor, MI",Results from a new experimental technique may make medicines easier on your liver & the environment. https://t.co/gdibX21BNf
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 18:58:51 +0000 2016,"Ann Arbor, MI","RT @UM_SPH: These @UMich students are helping farmers in #India reap better, safer harvests: https://t.co/NPW0FGYtfg https://t.co/GjZzmG1jYc"
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 18:00:49 +0000 2016,"Ann Arbor, MI",#GIFparty?  Our furry campus friend is on his way. #GoBlue ?? https://t.co/PkCnXjZnmo
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 17:00:49 +0000 2016,"Ann Arbor, MI","Never settle for ordinary #Wolverines, always strive for the extraordinary! #NationalReadingMonth https://t.co/NMxhXed7dm"
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 16:04:34 +0000 2016,"Ann Arbor, MI",RT @UMichResearch: 40 million Americans don't get enough #sleep. @UMich faculty study the science behind sleep. https://t.co/fEklH4LCPZ httÖ
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 15:00:43 +0000 2016,"Ann Arbor, MI",[EVENT] A Cloth of Earth and Sky: The Healing Power of Nature through the Eyes of African American Quilters. https://t.co/KVvAprCEBf
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Thu Mar 03 14:01:08 +0000 2016,"Ann Arbor, MI",RT @UMengineering: #TBT 1992: Early @Umich Engineering student experimentation with virtual reality. https://t.co/bjym0IpGwP
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 21:59:48 +0000 2016,"Ann Arbor, MI",RT @UMichResearch: .@UMich scientists developed a new weapon in the fight against children's #brain #tumors. https://t.co/djDZrHtZi1
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 21:00:33 +0000 2016,"Ann Arbor, MI",Words matter. What will you do with yours? #NationalReadingMonth https://t.co/9C3xhkyfOL
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 20:02:35 +0000 2016,"Ann Arbor, MI",RT @umichfootball: Off and running! Four runs in the first for the @tigers. All from great first base coaching of course! https://t.co/vA2aÖ
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 19:08:55 +0000 2016,"Ann Arbor, MI","Brandon Stanton, creator of @HumansOfNY is coming to A2! Get your tickets & join the conversation #HONYatUMich https://t.co/gEIDRRcH0c"
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 18:12:51 +0000 2016,"Ann Arbor, MI",RT @UMichiganNews: New #3D camera being developed by @UMengineering to be smaller & achieve higher resolutions https://t.co/M0ZjlVg58k httpÖ
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 17:00:45 +0000 2016,"Ann Arbor, MI","""People change themselves in order to fit the mold of what other people want & say...that isn't the dream."" https://t.co/Hed4EQjCrX"
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 16:04:24 +0000 2016,"Ann Arbor, MI","RT @umichgradschool: Depression is real, and it's ok to ask for help. Read about a grad student's journey with depression & healing: https:Ö"
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 15:13:45 +0000 2016,"Ann Arbor, MI","The English diction has altered through the centuries, with no change of substance, but a change of style: https://t.co/JZCQwavS7g"
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Wed Mar 02 13:59:44 +0000 2016,"Ann Arbor, MI","RT @UMichResearch: ""One of the reasons why I did want to come to @UMich was because of the #research opportunities here."" https://t.co/c4RHÖ"
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Tue Mar 01 22:00:35 +0000 2016,"Ann Arbor, MI","""I'm very passionate about helping the population that can't help themselves,"" https://t.co/tZjAYEBP3A"
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Tue Mar 01 21:04:03 +0000 2016,"Ann Arbor, MI",RT @umichgradschool: Grad students everywhere: Declare #IChoseUMich. Share your acceptance story & be pinned on our #Rackham map. https://tÖ
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,,,Twitter,,,,
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Tue Mar 01 20:00:37 +0000 2016,"Ann Arbor, MI","Leading by example, Dr. Steven Boling @UMHealthSystem has demonstrated his commitment to health by running to work https://t.co/zWo8a334hH"
ResultsUmich,UniversityofMichigan,UMich,Twitter,7.05E+17,Tue Mar 01 18:31:16 +0000 2016,"Ann Arbor, MI",RT @UMichiganNews: .@MichiganRoss: Why are some male managers surrounded by diverse group of subordinates while others only hire men? httpsÖ
TwitterRecentMichiganDailyUserTweets,The Michigan Daily,michigandaily,Twitter,7.05E+17,Thu Mar 03 18:05:27 +0000 2016,"Ann Arbor, Michigan",Personal #Statement: What We Talk about When No One is Listening. https://t.co/89o41JKvo5 https://t.co/yfEAsCQwp3
TwitterRecentMichiganDailyUserTweets,,,Twitter,,,,
TwitterRecentMichiganDailyUserTweets,,,Twitter,,,,
TwitterRecentMichiganDailyUserTweets,,,Twitter,,,,
TwitterRecentMichiganDailyUserTweets,The Michigan Daily,michigandaily,Twitter,7.05E+17,Thu Mar 03 16:55:17 +0000 2016,"Ann Arbor, Michigan",.@JohnKasich misses @UMich campaign stop due to delayed flight.  https://t.co/j1Tbayzxae
TwitterRecentMichiganDailyUserTweets,,,Twitter,,,,
TwitterRecentMichiganDailyUserTweets,The Michigan Daily,michigandaily,Twitter,7.05E+17,Thu Mar 03 15:07:50 +0000 2016,"Ann Arbor, Michigan",The women of @umichgolf improved to seventh at Hurricane Invitational. https://t.co/yC2pV1qQ4P
